,Team,pass_yardage,total_pass_plays,total_run_plays,run_yardage,total_yardage,pct_run,total_plays,penalty_yards
0,LA,1863,185,164,547,2410,0.4699140401146132,349,-15
1,BUF,2183,181,176,992,3175,0.49299719887955185,357,-48
2,ATL,1571,121,296,1521,3092,0.709832134292566,417,-181
3,NO,2335,197,228,1178,3513,0.5364705882352941,425,-202
4,CAR,1645,145,195,980,2625,0.5735294117647058,340,-139
5,CLE,1806,154,261,1297,3103,0.6289156626506024,415,-162
6,CHI,1176,98,304,1760,2936,0.7562189054726368,402,-137
7,SF,1987,156,211,997,2984,0.5749318801089919,367,-171
8,CIN,2476,228,206,886,3362,0.47465437788018433,434,-2
9,PIT,1801,192,176,744,2545,0.4782608695652174,368,-274
10,DET,1939,164,206,1064,3003,0.5567567567567567,370,-92
11,PHI,2005,165,260,1188,3193,0.611764705882353,425,-146
12,HOU,1516,149,179,804,2320,0.5457317073170732,328,-97
13,IND,2245,228,206,807,3052,0.47465437788018433,434,-128
14,MIA,2694,207,188,811,3505,0.4759493670886076,395,-223
15,NE,1945,181,234,1086,3031,0.563855421686747,415,-117
16,NYJ,2033,183,218,1079,3112,0.543640897755611,401,-124
17,BAL,1636,150,259,1446,3082,0.6332518337408313,409,-159
18,WAS,1972,192,230,985,2957,0.5450236966824644,422,-23
19,JAX,1979,187,250,1349,3328,0.5720823798627003,437,-102
20,ARI,2037,227,220,1077,3114,0.49217002237136465,447,-187
21,KC,2611,210,182,854,3465,0.4642857142857143,392,-135
22,LAC,2065,212,174,719,2784,0.45077720207253885,386,-135
23,LV,1901,174,169,927,2828,0.49271137026239065,343,-299
24,MIN,1938,190,175,784,2722,0.4794520547945205,365,-42
25,GB,2004,202,209,1071,3075,0.5085158150851582,411,-147
26,TEN,1244,108,238,1176,2420,0.6878612716763006,346,-165
27,NYG,1413,140,247,1294,2707,0.6382428940568475,387,-125
28,DAL,1510,134,214,1073,2583,0.6149425287356322,348,-137
29,TB,2496,252,172,553,3049,0.4056603773584906,424,-190
30,SEA,1793,169,202,1151,2944,0.5444743935309974,371,-209
31,DEN,1785,153,203,865,2650,0.5702247191011236,356,-225
